App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Solo Locker (DIY Locker),TOOLS,4.5,474439,7.9,"10,000,000+",Free,0,Everyone,Tools,26-Jun-18,6.1.7.5,4.2 and up
SeriesGuide – Show & Movie Manager,ENTERTAINMENT,4.3,64448,4.4,"1,000,000+",Free,0,Mature 17+,Entertainment,21-Jul-18,43,4.0.3 and up
K-Otic Universe,FAMILY,4.9,55,40,"1,000+",Free,0,Everyone,Puzzle,3-Aug-18,108,4.1 and up
Learn To Draw Glow Princess,FAMILY,4.5,3323,9.6,"1,000,000+",Free,0,Everyone,Casual;Pretend Play,14-Jul-17,1.0.1,4.0.3 and up
New Wallpapers Toyota FJ Cruiser Theme,PERSONALIZATION,NaN,1,16,100+,Free,0,Teen,Personalization,23-Feb-18,1,4.1 and up
Fatal Raid - No.1 Mobile FPS,GAME,4.3,56496,81,"1,000,000+",Free,0,Teen,Action,7-Aug-18,1.5.447,4.0 and up
Cardinal Glennon ER Reference,MEDICAL,4.2,19,20,"1,000+",Free,0,Everyone 10+,Medical,21-Sep-17,1.8.3,4.1 and up
Beach Buggy Blitz,GAME,4.2,640974,47,"50,000,000+",Free,0,Everyone,Racing,5-Jun-18,1.5,4.0.3 and up
AJ Rafael Music Lessons,FAMILY,5,1,8.2,10+,Free,0,Everyone,Entertainment,29-Nov-17,1.2.1,4.1 and up
Nick,ENTERTAINMENT,4.2,123279,25,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,24-Jan-18,2.0.8,4.4 and up
DW VMAX,TOOLS,3.4,843,8.5,"100,000+",Free,0,Everyone,Tools,4-May-17,3.7.1,2.2 and up
City Taxi Driver sim 2016: Cab simulator Game-s,FAMILY,4.1,16111,57,"1,000,000+",Free,0,Everyone,Simulation,12-Jun-18,1.11,4.1 and up
Ultimate Quiz for CS:GO - Skins | Cases | Players,GAME,4.5,2526,22,"100,000+",Free,0,Everyone,Trivia,14-Feb-18,1.3.0,4.1 and up
Earn to Die 2,GAME,4.6,1327269,99,"50,000,000+",Free,0,Teen,Racing,12-Apr-17,1.3,2.3.3 and up
Forest Crossing AH,MEDICAL,NaN,0,29,10+,Free,0,Everyone,Medical,12-Apr-18,300000.1.01,4.0.3 and up
CZ File Manager,TOOLS,2.2,876,8.7,"1,000,000+",Free,0,Everyone,Tools,6-Aug-18,3.2.3,4.2 and up
Learn English with Wlingua,EDUCATION,4.7,314299,3.3,"10,000,000+",Free,0,Everyone,Education,2-May-18,1.94.9,4.0 and up
Santa Fe Thrive,HEALTH_AND_FITNESS,5,2,8.3,50+,Free,0,Everyone,Health & Fitness,9-Jul-18,4.2.2,4.1 and up
Simple Notepad,PRODUCTIVITY,4.3,12321,0.713,"1,000,000+",Free,0,Everyone,Productivity,25-Dec-16,2.0.1,2.3 and up
K keyboard - Myanmar,TOOLS,4.8,1955,14,"100,000+",Free,0,Everyone,Tools,17-Mar-18,1.0.8,4.1 and up
Free TV series,VIDEO_PLAYERS,3.7,400,7.2,"100,000+",Free,0,Teen,Video Players & Editors,28-May-18,v1.0.3,4.0.3 and up
K-9 Mail,COMMUNICATION,4.2,88427,5.1,"5,000,000+",Free,0,Everyone,Communication,6-Jan-18,5.403,4.0.3 and up
AX Timesheets App for Dynamics,BUSINESS,NaN,0,9,10+,Free,0,Everyone,Business,15-Feb-18,1.0.5,4.4 and up
Casa CF,HEALTH_AND_FITNESS,4.7,12,6.3,500+,Free,0,Everyone,Health & Fitness,12-Jul-18,3.1.2,4.1 and up
VITEK EH DVR Viewer (Pro),TOOLS,3.5,78,3.3,"10,000+",Free,0,Everyone,Tools,11-Oct-13,1.2.10,2.2 and up
AdWords Express,BUSINESS,4.1,7149,11,"1,000,000+",Free,0,Everyone,Business,31-Jul-18,2.6.158,4.0 and up
All AJK Board Matric Fa Fsc Results,FAMILY,NaN,0,2.6,10+,Free,0,Everyone,Education,22-Jul-18,1,4.0 and up
Calendar Widget Month + Agenda,PRODUCTIVITY,4.2,60840,1.9,"5,000,000+",Free,0,Everyone,Productivity,31-May-18,1.26.2,4.0.3 and up
EP Radio,FAMILY,5,3,0.154,50+,Free,0,Everyone,Entertainment,26-Mar-18,1,3.0 and up
ricardo.ch,SHOPPING,4,13232,27,"500,000+",Free,0,Everyone,Shopping,21-Jul-18,7.5.1,4.1 and up
AG Subway Simulator Lite,FAMILY,4.4,6738,56,"100,000+",Free,0,Everyone,Simulation,8-Jun-18,1.2.6,4.1 and up
Daily DM,PERSONALIZATION,4.7,51,0.259,"1,000+",Free,0,Everyone,Personalization,4-Oct-13,1,2.1 and up
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11,"5,000,000+",Free,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
Mobile CS:GO,GAME,3.1,1015,0.643,"100,000+",Free,0,Everyone,Action,11-Nov-15,1.3,2.3.3 and up
F-Secure SAFE,TOOLS,4.3,9433,9.3,"500,000+",Free,0,Everyone,Tools,30-Jul-18,17.4.0014017,5.0 and up
DP Editor,PHOTOGRAPHY,4.3,18,15,"5,000+",Free,0,Teen,Photography,4-Aug-18,1.5,4.1 and up
Poteau BA,FAMILY,NaN,3,4,500+,Free,0,Everyone,Education,16-Jul-17,1.0.2,5.0 and up
"Yatra - Flights, Hotels, Bus, Trains & Cabs",TRAVEL_AND_LOCAL,4.5,251037,26,"10,000,000+",Free,0,Everyone,Travel & Local,5-Aug-18,13.0.16,4.1 and up
Galaxy Defense,FAMILY,4.1,78142,17,"5,000,000+",Free,0,Everyone,Strategy,22-Aug-15,1.2.3,3.0 and up
MyMo by GSB,FINANCE,4.2,21996,14,"1,000,000+",Free,0,Everyone,Finance,19-Jul-18,1.17.2,4.0.3 and up
Best DP and Status - All Type DP & Status,FAMILY,NaN,1,5.7,100+,Free,0,Everyone,Entertainment,30-May-18,1,4.0.3 and up
United Airlines,TRAVEL_AND_LOCAL,3.5,30447,80,"5,000,000+",Free,0,Everyone,Travel & Local,20-Jul-18,2.1.56,5.0 and up
CV S ( CV Editor - Resume ),BUSINESS,4.5,3972,5.6,"100,000+",Free,0,Teen,Business,25-Jun-18,5.1.14,4.0 and up
EU-Schwerbehinderung,NEWS_AND_MAGAZINES,NaN,3,32,100+,Free,0,Everyone 10+,News & Magazines,16-Jul-18,2.0.3.53,6.0 and up
WWE,ENTERTAINMENT,4.5,736864,20,"10,000,000+",Free,0,Teen,Entertainment,19-Jan-18,3.17.2,4.1 and up
DU Battery Saver - Battery Charger & Battery Life,TOOLS,4.5,13479633,14,"100,000,000+",Free,0,Everyone,Tools,5-Jun-18,4.8.7.8,4.0 and up
Car Crash III Beam DH Real Damage Simulator 2018,GAME,3.6,151,100,"10,000+",Free,0,Everyone,Racing,20-May-18,1.03,4.1 and up
Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,NaN,0,3.6,1+,Paid,$1.49,Everyone,Personalization,23-Jul-18,1.2.A.Exceed.Paid,6.0 and up
Akinator,FAMILY,4.3,1805398,55,"50,000,000+",Free,0,Teen,Entertainment,11-Jun-18,6.5.2,4.4 and up
GoodRx Drug Prices and Coupons,MEDICAL,4.8,59158,11,"1,000,000+",Free,0,Everyone,Medical,26-Jul-18,5.4.8,4.1 and up
Newegg Mobile,SHOPPING,4.5,35479,16,"1,000,000+",Free,0,Everyone,Shopping,11-Jul-18,4.16.0,4.4 and up
TNEB,BUSINESS,3.8,1777,0.948,"100,000+",Free,0,Everyone,Business,18-May-14,1,2.2 and up
AZ Rockets,GAME,4.2,162,37,"10,000+",Free,0,Everyone,Arcade,25-May-18,1.2.1,4.1 and up
TappyToon Comics & Webtoons,COMICS,3.5,4205,10,"100,000+",Free,0,Teen,Comics,13-Jul-18,1.77,4.0.3 and up
Cádiz CB Gades,SPORTS,NaN,1,3.8,10+,Free,0,Everyone,Sports,5-Aug-18,opciÃ³n de cerrar,4.1 and up
Sydney FC Official App,SPORTS,4.6,57,17,"5,000+",Free,0,Everyone,Sports,26-Jun-18,3.0.0,4.1 and up
Predator Calls for Hunting AU,SPORTS,4.4,27,78,"10,000+",Free,0,Everyone,Sports,3-Aug-16,1,4.0.3 and up
Anonymous caller detection,BOOKS_AND_REFERENCE,NaN,161,2.7,"10,000+",Free,0,Everyone,Books & Reference,13-Jul-18,1,2.3 and up
Millionaire Match: Rich Singles Dating App,DATING,3.9,853,27,"100,000+",Free,0,Mature 17+,Dating,30-Jul-18,6.4.6,4.1 and up
The Holy Rosary,LIFESTYLE,4.7,56197,15,"1,000,000+",Free,0,Everyone,Lifestyle,6-Aug-18,1.6.17,1.6 and up
CX Network,BUSINESS,NaN,0,10,0+,Free,0,Everyone,Business,6-Aug-18,1.3.1,4.1 and up
EMT Study - NREMT Test Prep,MEDICAL,4.3,35,0.862,"5,000+",Paid,$3.99,Everyone,Medical,3-Dec-14,1.1,4.0.3 and up
Adult Color By Number Book: Number Coloring Pages,FAMILY,4.2,2231,37,"500,000+",Free,0,Everyone,Entertainment,23-Jul-18,2.9,4.4 and up
Color by Number: Pixel Art,FAMILY,4.6,12034,34,"1,000,000+",Free,0,Everyone,Entertainment,26-May-18,4.8,4.1 and up
"Join R, Community Engagement",SOCIAL,4.7,144,12,"1,000+",Free,0,Teen,Social,31-Jan-17,1.0.12,4.0.3 and up
Dating.dk,SOCIAL,3.7,2111,11,"100,000+",Free,0,Mature 17+,Social,6-Aug-18,4.1.23,4.4 and up
BD Hospital's,FAMILY,4.7,12,2.3,100+,Free,0,Everyone,Education,7-Oct-15,1.1,3.0 and up
SCRABBLE,GAME,3.9,172281,50,"5,000,000+",Free,0,Everyone,Word,1-Aug-18,5.27.0.729,4.1 and up
My BF App,COMMUNICATION,4.1,141,9.9,"50,000+",Free,0,Everyone,Communication,19-Dec-17,2,4.0 and up
L.A. Crime Stories 2 Mad City Crime,GAME,4.2,3946,42,"100,000+",Free,0,Teen,Racing,30-Mar-17,1.04,2.3 and up
Lezhin Comics - Daily Releases,COMICS,3,28447,15,"1,000,000+",Free,0,Teen,Comics,31-Jul-18,Varies with device,Varies with device
Route Z,GAME,3.9,24697,16,"500,000+",Free,0,Teen,Action,10-Jul-15,1.5,4.0 and up
Little Eye Surgery Simulator - ER Doctor Game,FAMILY,4.4,12,19,"1,000+",Free,0,Teen,Casual,20-Apr-18,1,2.3 and up
CL-Customer Care,HEALTH_AND_FITNESS,NaN,2,6.8,5+,Free,0,Everyone,Health & Fitness,14-Jun-18,1.3,4.0.3 and up
Profile w/o crop for Telegram,PHOTOGRAPHY,4.2,348,1.5,"10,000+",Free,0,Everyone,Photography,11-Apr-14,3.1.50,2.3.3 and up
URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,NaN,114,7.3,"100,000+",Free,0,Everyone,Books & Reference,7-Aug-15,1.1,5.1 and up
Ultimate Background Eraser,PHOTOGRAPHY,4.3,14453,21,"1,000,000+",Free,0,Everyone,Photography,13-Mar-18,1.9,4.1 and up
Access Point Names,COMMUNICATION,4,138,2.4,"10,000+",Free,0,Everyone,Communication,12-Aug-14,1,2.3.3 and up
Dz Dinars Numbers to letters,PRODUCTIVITY,4.7,2807,9.8,"100,000+",Free,0,Everyone,Productivity,15-Dec-16,0.74 11.12.2016,4.0.3 and up
LineStar For DK,SPORTS,4.3,1387,14,"50,000+",Free,0,Everyone,Sports,6-Jun-18,3.0.3,4.0.3 and up
ReadyOp DT,COMMUNICATION,4.6,8,1.1,"1,000+",Free,0,Everyone,Communication,6-Jul-18,1.0.56,2.3.3 and up
Preschool All-In-One,FAMILY,4.1,9019,44,"1,000,000+",Free,0,Everyone,Casual;Education,28-Mar-18,6.6,4.0 and up
DX Simulation Belt for Build henshin,FAMILY,4.5,182,39,"10,000+",Free,0,Everyone,Simulation,11-Jul-18,2,4.1 and up
Helix Jump,GAME,4.2,1498648,33,"100,000,000+",Free,0,Everyone,Action,9-Apr-18,1.0.6,4.1 and up
Scout GPS Navigation & Meet Up,TRAVEL_AND_LOCAL,4.2,120373,31,"5,000,000+",Free,0,Everyone,Travel & Local,31-Jul-18,3.19.35.999,4.0.3 and up
CB VIDEO VISION,PHOTOGRAPHY,5,13,2.6,100+,Free,0,Everyone,Photography,12-Sep-17,0.0.2,4.1 and up
Rescue Robots Survival Games,GAME,4,27557,69,"5,000,000+",Free,0,Teen,Action,6-Jul-18,F2i,4.1 and up
BK Chat,COMMUNICATION,NaN,6,31,"1,000+",Free,0,Teen,Communication,30-Jul-18,2.1,4.1 and up
Ay Sabz Gunbad Waly,VIDEO_PLAYERS,NaN,4,3.9,"1,000+",Free,0,Everyone,Video Players & Editors,11-Sep-17,1.1,4.0 and up
Live Talk - Free Text and Video Chat,DATING,4.6,185,5,"10,000+",Free,0,Mature 17+,Dating,16-Jul-18,8.2,4.0.3 and up
EU GDPR RiskCalc,BUSINESS,NaN,1,13,50+,Free,0,Everyone,Business,3-Oct-17,1.0.0,4.2 and up
MealLogger-Photo Food Journal,HEALTH_AND_FITNESS,3.5,217,9.4,"50,000+",Free,0,Teen,Health & Fitness,23-Aug-17,4.6.2,4.0.3 and up
Sarajevo Film Festival - Official,EVENTS,NaN,6,9.7,100+,Free,0,Everyone 10+,Events,31-Jul-18,2.0.1,4.4W and up
DZ Puzzle,FAMILY,NaN,14,47,10+,Paid,$0.99,Everyone,Puzzle,22-Apr-17,1.2,2.3 and up
AU Mobile Indonesia,GAME,3.6,16521,23,"1,000,000+",Free,0,Everyone,Music,9-May-18,1.8.0502,2.3 and up
Servers Ultimate Pack B,TOOLS,4.3,668,13,"50,000+",Free,0,Everyone,Tools,31-Mar-16,2.1.8,2.1 and up
EB Cash Collections,BUSINESS,5,1,4.3,5+,Free,0,Everyone,Business,31-Jul-18,1.1,4.4 and up
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4,"1,000,000+",Free,0,Everyone,Communication,6-Jul-18,5.2,5.0 and up
"ooVoo Video Calls, Messaging & Stories",SOCIAL,4.3,1157003,34,"50,000,000+",Free,0,Everyone,Social,16-Oct-17,4.2.1,4.3 and up
CG Job Alerts,FAMILY,4.2,116,4.1,"10,000+",Free,0,Everyone,Education,11-Sep-17,7.2,2.3 and up
Familyfirst Messenger,MEDICAL,4,1,3.3,10+,Free,0,Everyone,Medical,12-Jul-18,0.1.2,4.4 and up
CNN Breaking US & World News,NEWS_AND_MAGAZINES,4,293080,25,"10,000,000+",Free,0,Everyone 10+,News & Magazines,6-Aug-18,5.17,4.4 and up
Gems or jewels ?,GAME,4.7,171448,13,"10,000,000+",Free,0,Teen,Puzzle,3-Aug-18,1.0.109,4.0 and up
Consultar Infracciones de Transito DF y Mexico,TOOLS,NaN,0,2.9,10+,Free,0,Everyone,Tools,23-Jul-18,2.5,4.0 and up
Hill Climb Racing,GAME,4.4,8923587,63,"100,000,000+",Free,0,Everyone,Racing,2-Jul-18,1.37.2,4.2 and up
DM for WhatsApp,COMMUNICATION,4.4,25,2.9,"5,000+",Free,0,Everyone,Communication,3-Jun-18,0.3.7,4.4 and up
Comptia A+ 220-901 & 220-902,FAMILY,4.4,174,5.7,"10,000+",Free,0,Everyone,Education,19-Apr-18,2.0.7,4.1 and up
SPEED L,SHOPPING,4.3,85,2.9,"50,000+",Free,0,Everyone,Shopping,26-Jun-18,1.24,4.4 and up
SW-100.tch by Callstel,COMMUNICATION,4,1926,0.716,"1,000,000+",Free,0,Everyone,Communication,16-Dec-15,1.3.20,2.2 and up
Fresh EBT - Food Stamp Balance,FINANCE,4.5,19870,7.4,"1,000,000+",Free,0,Everyone,Finance,24-Jul-18,2.9.5,4.0.3 and up
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39,"100,000+",Paid,$4.99,Everyone,Business,11-Apr-17,3.4.6,3.0 and up
EZ File Manager(Root Explorer),PRODUCTIVITY,3.5,626,1.2,"100,000+",Free,0,Everyone,Productivity,23-Jun-15,1.1,3.2 and up
BlackJack 21 Pro,GAME,4.5,26744,51,"500,000+",Free,0,Teen,Casino,27-Jul-18,7.4.0,4.0.3 and up
Wallpapers CZ 75 85,PERSONALIZATION,NaN,0,12,10+,Free,0,Teen,Personalization,12-Apr-18,1,4.1 and up
EB-Link,BUSINESS,4.8,6,11,100+,Free,0,Everyone,Business,7-Jun-18,1.2.7,4.2 and up
My CU - Caucasus University,PRODUCTIVITY,4.6,48,7.3,"1,000+",Free,0,Everyone,Productivity,22-Nov-17,1.2.3,4.1 and up
EW Gate,BUSINESS,NaN,0,12,50+,Free,0,Everyone,Business,16-Apr-18,3.07,4.0 and up
Adult Dirty Emojis,DATING,2.8,80,5.5,"10,000+",Free,0,Teen,Dating,6-Nov-17,1,4.0.3 and up
EF English Live Business Tablet,FAMILY,3.3,279,14,"10,000+",Free,0,Everyone,Education,25-Dec-17,1.6.6,4.4 and up
Sports DV,LIFESTYLE,2.1,86,29,"10,000+",Free,0,Everyone,Lifestyle,17-Jul-18,3.0.3,4.3 and up
Cy-Ranch,NEWS_AND_MAGAZINES,4.5,27,7.1,500+,Free,0,Everyone,News & Magazines,6-May-18,7.5.0,4.1 and up
GTS-M,TOOLS,4.2,38,0.251,"5,000+",Free,0,Everyone,Tools,26-Jan-17,1.4,1.6 and up
RandoChat - Chat roulette,DATING,3.6,11806,12,"1,000,000+",Free,0,Mature 17+,Dating,26-Jun-18,4.0.18,4.0.3 and up
"Fame Boom for Real Followers, Likes",SOCIAL,4.7,896118,6.6,"5,000,000+",Free,0,Everyone,Social,9-Oct-17,1.3.0,4.1 and up
"Yahoo Sports - scores, stats, news, & highlights",SPORTS,4.5,32386,19,"1,000,000+",Free,0,Everyone,Sports,1-Aug-18,7.8.0,5.1 and up
Dr. Splorchy Presents Space Heroes,GAME,4.6,18,31,100+,Paid,$4.99,Mature 17+,Adventure,23-Jul-18,1,7.0 and up
Talking Ginger,FAMILY,4.2,1752017,52,"100,000,000+",Free,0,Everyone,Entertainment,5-Jul-18,2.5.6.11,4.1 and up
Talking Tom Bubble Shooter,FAMILY,4.4,687136,54,"50,000,000+",Free,0,Everyone,Casual,25-May-18,1.5.3.20,4.1 and up
HTC Transfer Tool,TOOLS,4.3,40907,2.6,"5,000,000+",Free,0,Everyone,Tools,27-Jul-17,6.0.932740,2.2 and up
LightMeter Free,PHOTOGRAPHY,4.1,5485,13,"1,000,000+",Free,0,Everyone,Photography,28-Apr-16,1.2.3,3.2 and up
Kimbrough AH,MEDICAL,5,5,28,100+,Free,0,Everyone,Medical,21-Sep-17,300000.0.90,4.0.3 and up
Offroad 4x4 Car Driving,FAMILY,4.3,26224,43,"1,000,000+",Free,0,Everyone,Simulation,29-Apr-17,1.0.4,2.3 and up
HungerStation,FOOD_AND_DRINK,3.8,22513,11,"1,000,000+",Free,0,Everyone,Food & Drink,21-May-18,5.3.8,4.0.3 and up
Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,NaN,0,5,1+,Paid,$0.99,Everyone,Medical,24-Jul-18,1,4.0.3 and up
Gold Quote - Gold.fr,FINANCE,NaN,96,1.5,"10,000+",Free,0,Everyone,Finance,19-May-16,2.3,2.2 and up
CT Brain Interpretation,FAMILY,5,3,29,500+,Free,0,Everyone,Education,4-Jul-18,5.0.16,4.0 and up
Account Class-11 Solutions (D K Goel),FAMILY,4.5,663,25,"50,000+",Free,0,Everyone,Education,9-Feb-18,3.0.0,3.0 and up
Flashlight X,TOOLS,4.6,20418,4.3,"1,000,000+",Free,0,Everyone,Tools,8-Apr-18,4.54,4.0 and up
BL Flowers Digital,SHOPPING,5,21,2.5,100+,Free,0,Everyone,Shopping,31-Oct-17,1.6,4.2 and up
Smart Wi-Fi Hotspot PRO,COMMUNICATION,3.7,197,0.957,"10,000+",Paid,$2.99,Everyone,Communication,10-Feb-16,1,2.2 and up
Ludo Dz,GAME,4.5,17,28,500+,Free,0,Everyone,Board,27-Aug-17,1,4.1 and up
O'Route Orienteering,SPORTS,4.2,6,1.3,100+,Paid,$3.02,Everyone,Sports,27-Dec-17,2.0.5,3.0 and up
Mindvalley U Tallinn 2018,EVENTS,5,1,21,100+,Free,0,Everyone,Events,3-Jul-18,1.0.5,4.4 and up
Bullshit! (Free),GAME,2.4,45,4.1,"10,000+",Free,0,Teen,Card,26-Aug-16,1.1,4.1 and up
The ClubHouse CR,HEALTH_AND_FITNESS,NaN,5,8.7,100+,Free,0,Everyone,Health & Fitness,9-Jul-18,4.2.2,4.1 and up
Telemundo Now,ENTERTAINMENT,3.9,8674,19,"1,000,000+",Free,0,Teen,Entertainment,25-May-18,3.3.1.42,4.4 and up
Tropical Beach Live Wallpaper,PERSONALIZATION,4,11343,8.4,"1,000,000+",Free,0,Everyone,Personalization,22-May-18,18,4.1 and up
BP Service,BUSINESS,NaN,0,26,100+,Free,0,Everyone,Business,17-Jan-18,Rocksteady 1.3,4.1 and up
Emergency Brain CT,MEDICAL,NaN,2,19,10+,Paid,$0.99,Everyone,Medical,17-Apr-18,1.0.0,4.1 and up
Arogyam EH,MEDICAL,3.6,18,3.5,"1,000+",Free,0,Everyone,Medical,12-May-18,1.9,4.0.3 and up
Wallpapers AK 74M,PERSONALIZATION,NaN,0,11,10+,Free,0,Teen,Personalization,13-Apr-18,1,4.1 and up
Block Gun 3D: Call of Destiny,GAME,3.7,31883,20,"1,000,000+",Free,0,Teen,Action,23-Mar-17,1.4.3,2.3 and up
Crusaders Quest,FAMILY,4.4,475020,69,"5,000,000+",Free,0,Everyone 10+,Role Playing,26-Jul-18,4.7.0.KG,4.1 and up
DS Companion,HEALTH_AND_FITNESS,NaN,0,4.6,50+,Free,0,Everyone,Health & Fitness,3-Nov-17,1.7,4.4 and up
EF Lens Simulator,PHOTOGRAPHY,NaN,2,33,100+,Paid,$9.99,Everyone,Photography,27-Feb-17,2.8.3.1,2.2 and up
When Will You Get Married,DATING,NaN,2,3.6,10+,Free,0,Everyone,Dating,14-Jul-18,1,4.0.3 and up
MCRAFT AR - EDITOR,FAMILY,3.4,131,22,"5,000+",Free,0,Everyone,Simulation,24-Jun-18,1,4.1 and up
E*TRADE Mobile,FINANCE,3.9,10657,58,"1,000,000+",Free,0,Everyone,Finance,2-Aug-18,6.8.2,4.4 and up
Dairy Queen,FOOD_AND_DRINK,3.6,742,43,"100,000+",Free,0,Everyone,Food & Drink,25-Jul-18,2.1.0,4.1 and up
Periscope - Live Video,SOCIAL,4,479939,15,"10,000,000+",Free,0,Mature 17+,Social,9-Jul-18,1.23.3.0,4.4 and up
WomanLog Calendar,HEALTH_AND_FITNESS,4.5,121838,15,"5,000,000+",Free,0,Everyone,Health & Fitness,23-May-18,5.5.1,4.0.3 and up
CK Active,HEALTH_AND_FITNESS,NaN,0,9.7,10+,Free,0,Everyone,Health & Fitness,27-Feb-18,3.0.6,4.0 and up
The Video Messenger App,SOCIAL,4.4,1200,2.8,"100,000+",Free,0,Everyone,Social,2-Aug-18,0.1.1,4.1 and up
Chegg Study - Homework Help,EDUCATION,4.3,14700,21,"1,000,000+",Free,0,Everyone,Education,30-Jul-18,5.7.0,4.4 and up
Ek Kauwa Pyasa Tha,FAMILY,4.1,35,3.1,"50,000+",Free,0,Everyone,Entertainment,25-Jun-17,1.3.6,4.0 and up
Flip the Gun - Simulator Game,GAME,4.2,195558,86,"10,000,000+",Free,0,Everyone,Arcade,26-Jul-18,1.2,5.0 and up
Best Western To Go,TRAVEL_AND_LOCAL,3,2719,17,"100,000+",Free,0,Teen,Travel & Local,2-Aug-18,5.14.1,4.2 and up
Plants vs. Zombies FREE,GAME,4.4,4067651,69,"100,000,000+",Free,0,Everyone 10+,Strategy,6-Jul-18,2.2.00,4.1 and up
Kariyer.net,BUSINESS,3.9,45964,16,"1,000,000+",Free,0,Everyone,Business,18-Jul-18,5.1.5,4.1 and up
AV Anthony's,FOOD_AND_DRINK,NaN,0,10,50+,Free,0,Everyone,Food & Drink,11-Jul-18,1.0.136,6.0 and up
Nick,ENTERTAINMENT,4.2,123279,25,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,24-Jan-18,2.0.8,4.4 and up
LateRooms: Find Hotel Deals,TRAVEL_AND_LOCAL,4.1,2419,13,"1,000,000+",Free,0,Everyone,Travel & Local,29-May-18,1.24.5,4.1 and up
The X-Files: Deep State - Hidden Object Adventure,FAMILY,4.5,22018,53,"500,000+",Free,0,Teen,Casual,18-Jul-18,2.6.1,5.0 and up
BJ Adams,BUSINESS,NaN,1,26,5+,Free,0,Everyone,Business,16-Nov-16,2.0.0,4.0.3 and up
DF-View,BUSINESS,NaN,0,15,100+,Free,0,Everyone,Business,4-Jan-16,1.0.9,4.0 and up
Pedi STAT,MEDICAL,4.6,129,2.9,"10,000+",Paid,$5.49,Everyone,Medical,6-Apr-18,3.0.1.0,4.1 and up
Sayers AH,MEDICAL,NaN,0,29,50+,Free,0,Everyone,Medical,17-Jan-18,300000.0.97,4.0.3 and up
AE Fishing Hunter,GAME,4.4,14,6.6,"1,000+",Free,0,Everyone,Adventure,15-Mar-16,0.0.3,3.0 and up
Hertfordshire FA,SPORTS,NaN,0,3.6,500+,Free,0,Everyone,Sports,18-Jan-17,1.3,4.0.3 and up
cloudLibrary,BOOKS_AND_REFERENCE,4,10774,35,"100,000+",Free,0,Everyone,Books & Reference,28-Jun-18,3.8.10,4.1 and up
DM airdisk Pro,TOOLS,3.2,11,36,"1,000+",Free,0,Everyone,Tools,20-Sep-17,2.4.0,4.0.3 and up
Multiple Sclerosis Dx & Mgmt.,MEDICAL,4.5,131,60,"10,000+",Free,0,Everyone,Medical,25-Sep-17,5,4.4 and up
Masha and Bear: Cooking Dash,FAMILY,4.3,151374,54,"10,000,000+",Free,0,Everyone,Role Playing;Brain Games,5-Jun-18,1.2.7,4.1 and up
Bridge Constructor Playground FREE,FAMILY,3.9,137377,30,"5,000,000+",Free,0,Everyone,Simulation,12-Apr-17,2.2,4.0.3 and up
EZ Launcher,PERSONALIZATION,4.2,18926,2.9,"1,000,000+",Free,0,Everyone,Personalization,28-Sep-13,0.5.2 beta,2.2 and up
Alto's Adventure,GAME,4.6,515657,63,"10,000,000+",Free,0,Everyone,Action,5-Jun-18,1.7.1,4.0 and up
AK Lodi Films,VIDEO_PLAYERS,4.9,23,2.1,100+,Free,0,Everyone,Video Players & Editors,11-Aug-15,1.1,4.0 and up
TouchNote: Cards & Gifts,PHOTOGRAPHY,4.1,19232,28,"1,000,000+",Free,0,Everyone,Photography,6-Aug-18,7.4.2,4.4 and up
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17,100+,Paid,$7.99,Mature 17+,Dating,21-Jan-17,1.0.1,4.0 and up
BT One Voice mobile access,COMMUNICATION,4,32,0.437,"5,000+",Free,0,Everyone,Communication,30-Jul-15,Version 1.6,1.6 and up
Az Video Status,FAMILY,4.8,13,6,100+,Free,0,Everyone,Entertainment,2-Aug-18,1.0.4,4.1 and up
FP Charging Daydream,PERSONALIZATION,3.5,96,3.8,"5,000+",Free,0,Everyone,Personalization,23-Nov-15,2,4.2 and up
ez Share Android app,PHOTOGRAPHY,3.3,1461,13,"100,000+",Free,0,Everyone,Photography,31-Aug-17,3.2.6,2.3 and up
BI Barcode Scanner,PRODUCTIVITY,NaN,0,0.473,10+,Paid,$0.99,Everyone,Productivity,13-Jun-14,2.2,2.2 and up
Honkai Impact 3rd,GAME,4.7,59017,82,"1,000,000+",Free,0,Teen,Action,3-Jul-18,2.2.1,4.3 and up
Chime - Mobile Banking,FINANCE,4.3,5928,22,"500,000+",Free,0,Everyone,Finance,22-Jul-18,5.1.1,5.0 and up
Rage Z: Multiplayer Zombie FPS Online Shooter,GAME,4.1,11258,44,"500,000+",Free,0,Mature 17+,Action,8-Dec-16,1.25,4.2 and up
