title,audience_score,type,genre,runtime,year,mpaa_rating,imdb_num_votes,critics_score,critics_rating,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,audience_rating,director,actor1,actor2,actor3,actor4,actor5,rt_url,imdb_url,imdb_id
Star Trek: Insurrection,51,Feature Film,Action & Adventure,103,1998,PG,44769,55,Rotten,no,no,no,no,no,no,Spilled,Jonathan Frakes,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton,Michael Dorn,http://www.rottentomatoes.com/m/star_trek_insurrection/,http://www.imdb.com/title/tt0120844/,120844
Hard Times,73,Feature Film,Drama,93,1975,PG,4915,100,Fresh,no,no,no,no,no,no,Upright,Walter Hill,Charles Bronson,James Coburn,Jill Ireland,Strother Martin,Michael McGuire,http://www.rottentomatoes.com/m/1009211-hard_times/,http://www.imdb.com/title/tt0073092/,73092
Fantasia/2000,69,Feature Film,Other,74,1999,G,20278,82,Certified Fresh,no,no,no,no,no,no,Upright,James Algar,Steve Martin,Itzhak Perlman,Quincy Jones,Bette Midler,James Earl Jones,http://www.rottentomatoes.com/m/fantasia_2000/,http://www.imdb.com/title/tt0120910/,120910
Ghosts of Mars,28,Feature Film,Action & Adventure,98,2001,R,34914,21,Rotten,no,no,no,no,no,no,Spilled,John Carpenter,Ice Cube,Natasha Henstridge,Jason Statham,Pam Grier,Joanna Cassidy,http://www.rottentomatoes.com/m/ghosts-of-mars/,http://www.imdb.com/title/tt0228333/,228333
The Dark Hours,48,Feature Film,Mystery & Suspense,80,2005,R,4232,58,Rotten,no,no,no,no,no,no,Spilled,Paul Fox,Kate Greenhouse,Aidan Devine,Gordon Currie,Iris Graham,Dov Tiefenbach,http://www.rottentomatoes.com/m/the-dark-hours-head-games/,http://www.imdb.com/title/tt0402249/,402249
Forgotten Silver,77,TV Movie,Documentary,53,1995,Unrated,4331,100,Fresh,no,no,no,no,yes,no,Upright,Peter Jackson,Thomas Robins,Peter Jackson,Leonard Maltin,Sam Neill,Harvey Weinstein,http://www.rottentomatoes.com/m/forgotten_silver/,http://www.imdb.com/title/tt0116344/,116344
Nickelodeon,59,Feature Film,Comedy,121,1976,PG,1182,14,Rotten,no,no,no,no,no,no,Spilled,Peter Bogdanovich,Ryan O'Neal,Burt Reynolds,Tatum O'Neal,Brian Keith,Stella Stevens,http://www.rottentomatoes.com/m/nickelodeon_1976/,http://www.imdb.com/title/tt0074964/,74964
Secondhand Lions,82,Feature Film,Drama,111,2003,PG,33916,59,Rotten,no,no,yes,no,no,no,Upright,Tim McCanlies,Michael Caine,Robert Duvall,Haley Joel Osment,Kyra Sedgwick,Nicky Katt,http://www.rottentomatoes.com/m/secondhand_lions/,http://www.imdb.com/title/tt0327137/,327137
Twelfth Night or What You Will,76,Feature Film,Drama,134,1996,PG,4068,74,Fresh,no,no,yes,no,no,no,Upright,Trevor Nunn,Helena Bonham Carter,Imogen Stubbs,Nigel Hawthorne,Ben Kingsley,Mel Smith,http://www.rottentomatoes.com/m/twelfth-night/,http://www.imdb.com/title/tt0117991/,117991
F/X,49,Feature Film,Mystery & Suspense,109,1986,R,10824,85,Fresh,no,no,no,no,no,no,Spilled,Robert Mandel,Bryan Brown,Brian Dennehy,Diane Venora,Cliff De Young,Mason Adams,http://www.rottentomatoes.com/m/fx/,http://www.imdb.com/title/tt0089118/,89118
Theremin: An Electronic Odyssey,65,Documentary,Documentary,83,1994,PG,759,100,Fresh,no,no,no,no,no,no,Upright,Steven M. Martin,Todd Rundgren,Brian Wilson,Clara Rockmore,Leon Theremin,Nicolas Slonimsky,http://www.rottentomatoes.com/m/theremin_an_electronic_odyssey/,http://www.imdb.com/title/tt0108323/,108323
Graffiti Bridge,47,Feature Film,Other,95,1990,PG-13,941,33,Rotten,no,no,no,no,no,no,Spilled,Prince,Prince,Ingrid Chavez,Morris Day,Jerome Benton,Mavis Staples,http://www.rottentomatoes.com/m/graffiti_bridge/,http://www.imdb.com/title/tt0099691/,99691
The Boy Friend,68,Feature Film,Other,137,1971,G,1851,86,Fresh,no,no,no,no,no,no,Upright,Ken Russell,Twiggy,Christopher Gable,Max Adrian,Bryan Pringle,Murray Melvin,http://www.rottentomatoes.com/m/boy_friend/,http://www.imdb.com/title/tt0066858/,66858
Flirting,65,Feature Film,Drama,99,1991,R,4097,96,Fresh,no,no,no,yes,no,no,Upright,John Duigan,Noah Taylor,Thandie Newton,Nicole Kidman,Bartholomew Rose,Felix Nobis,http://www.rottentomatoes.com/m/flirting/,http://www.imdb.com/title/tt0101898/,101898
Hounddog,50,Feature Film,Other,102,2007,R,4326,15,Rotten,no,no,no,no,no,no,Spilled,Deborah Kampmeier,Dakota Fanning,Cody Hanford,Piper Laurie,David Morse,Afemo Omilami,http://www.rottentomatoes.com/m/1195905-hounddog/,http://www.imdb.com/title/tt0415856/,415856
Shanghai Surprise,17,Feature Film,Drama,97,1986,PG-13,3449,14,Rotten,no,no,yes,no,no,no,Spilled,Jim Goddard,Sean Penn,Madonna,Paul Freeman,Richard Griffiths,Philip Sayer,http://www.rottentomatoes.com/m/shanghai_surprise/,http://www.imdb.com/title/tt0091934/,91934
Red Planet,31,Feature Film,Mystery & Suspense,106,2000,PG-13,38748,14,Rotten,no,no,no,no,no,no,Spilled,Antony Hoffman,Val Kilmer,Carrie-Anne Moss,Tom Sizemore,Benjamin Bratt,Simon Baker,http://www.rottentomatoes.com/m/red_planet/,http://www.imdb.com/title/tt0199753/,199753
Prospero's Books,83,Feature Film,Drama,124,1991,R,4377,67,Fresh,no,no,no,no,no,no,Upright,Peter Greenaway,John Gielgud,Michael Clark,Michel Blanc,Erland Josephson,Isabelle Pasco,http://www.rottentomatoes.com/m/prosperos_books/,http://www.imdb.com/title/tt0102722/,102722
Nuns on the Run,48,Feature Film,Other,89,1990,PG-13,5263,47,Rotten,no,no,no,no,no,no,Spilled,Jonathan Lynn,Eric Idle,Robbie Coltrane,Camille Coduri,Janet Suzman,Doris Hare,http://www.rottentomatoes.com/m/nuns_on_the_run/,http://www.imdb.com/title/tt0100280/,100280
Disgrace,61,Feature Film,Other,119,2008,R,3765,81,Certified Fresh,no,no,no,no,no,no,Upright,Steve Jacobs,John Malkovich,Jessica Haines,Eriq Ebouaney,Fiona Press,Antoinette Engel,http://www.rottentomatoes.com/m/disgrace/,http://www.imdb.com/title/tt0445953/,445953
Assassins,50,Feature Film,Mystery & Suspense,132,1995,R,47210,16,Rotten,no,no,no,no,no,no,Spilled,Richard Donner,Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoly Davydov,Axel Anderson,http://www.rottentomatoes.com/m/assassins/,http://www.imdb.com/title/tt0112401/,112401
Twister,60,Feature Film,Drama,113,1996,PG-13,113714,58,Rotten,no,no,no,yes,no,yes,Upright,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz,Lois Smith,http://www.rottentomatoes.com/m/1071167-twister/,http://www.imdb.com/title/tt0117998/,117998
Without Limits,87,Feature Film,Documentary,117,1998,PG-13,5007,79,Fresh,no,no,no,no,no,no,Upright,Robert Towne,Billy Crudup,Donald Sutherland,Monica Potter,Jeremy Sisto,Matthew Lillard,http://www.rottentomatoes.com/m/without_limits/,http://www.imdb.com/title/tt0119934/,119934
The Libertine,56,Feature Film,Drama,114,2004,R,27047,33,Rotten,no,no,no,no,no,no,Spilled,Laurence Dunmore,Johnny Depp,John Malkovich,Samantha Morton,Rosamund Pike,Tom Hollander,http://www.rottentomatoes.com/m/libertine/,http://www.imdb.com/title/tt0375920/,375920
Major League: Back to the Minors,30,Feature Film,Comedy,100,1998,PG-13,4733,21,Rotten,no,no,no,no,no,no,Spilled,John Warren,Scott Bakula,Corbin Bernsen,Dennis Haysbert,Takaaki Ishibashi,Jensen Daggett,http://www.rottentomatoes.com/m/major_league_back_to_the_minors/,http://www.imdb.com/title/tt0120742/,120742
Stealing Home,70,Feature Film,Drama,98,1988,PG-13,3115,22,Rotten,no,no,no,yes,no,no,Upright,William Porter,Mark Harmon,Blair Brown,Jodie Foster,Jonathan Silverman,Harold Ramis,http://www.rottentomatoes.com/m/stealing_home/,http://www.imdb.com/title/tt0096171/,96171
Yellowbeard,60,Feature Film,Action & Adventure,96,1983,PG,4930,22,Rotten,no,no,no,no,no,no,Upright,Mel Damski,Graham Chapman,Peter Boyle,Tommy Chong,Eric Idle,Peter Cook,http://www.rottentomatoes.com/m/yellowbeard/,http://www.imdb.com/title/tt0086618/,86618
Ladybugs,41,Feature Film,Comedy,90,1992,PG-13,5595,14,Rotten,no,no,no,no,no,no,Spilled,Sidney J. Furie,Rodney Dangerfield,Jackee,Jonathan Brandis,Ilene Graff,Vinessa Shaw,http://www.rottentomatoes.com/m/ladybugs/,http://www.imdb.com/title/tt0104670/,104670
Being There,90,Feature Film,Drama,130,1979,PG,40588,95,Fresh,no,no,no,yes,no,no,Upright,Hal Ashby,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Jack Warden,Richard Basehart,http://www.rottentomatoes.com/m/being_there/,http://www.imdb.com/title/tt0078841/,78841
The Others,75,Feature Film,Mystery & Suspense,101,2001,PG-13,200168,84,Certified Fresh,no,no,no,yes,no,no,Upright,Alejandro Amenabar,Nicole Kidman,Elaine Cassidy,Christopher Eccleston,Fionnula Flanagan,Eric Sykes,http://www.rottentomatoes.com/m/1109257-others/,http://www.imdb.com/title/tt0230600/,230600
Baby Boom,56,Feature Film,Drama,110,1987,PG,8072,81,Fresh,no,no,no,yes,no,no,Spilled,Charles Shyer,Diane Keaton,Harold Ramis,Sam Wanamaker,James Spader,Pat Hingle,http://www.rottentomatoes.com/m/baby_boom/,http://www.imdb.com/title/tt0092605/,92605
Madagascar: Escape 2 Africa,68,Feature Film,Action & Adventure,89,2008,PG,89412,64,Fresh,no,no,no,no,no,no,Upright,Eric Darnell,Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen,http://www.rottentomatoes.com/m/madagascar_escape_2_africa/,http://www.imdb.com/title/tt0479952/,479952
Crawlspace,30,Feature Film,Drama,80,1986,R,1659,0,Rotten,no,no,no,no,no,no,Spilled,David Schmoeller,Klaus Kinski,Talia Balsam,Barbara Whinnery,Sally Brown,Carole Francis,http://www.rottentomatoes.com/m/1004870-crawlspace/,http://www.imdb.com/title/tt0090881/,90881
Bully,68,Feature Film,Other,115,2001,R,24743,54,Rotten,no,no,no,no,no,no,Upright,Larry Clark,Brad Renfro,Rachel Miner,Nick Stahl,Bijou Phillips,Michael Pitt,http://www.rottentomatoes.com/m/bully/,http://www.imdb.com/title/tt0242193/,242193
Little Secrets,60,Feature Film,Drama,96,2001,PG,2310,60,Fresh,no,no,no,no,no,no,Upright,Blair Treu,Evan Rachel Wood,Michael Angarano,David Gallagher,Vivica A. Fox,Tayva Patch,http://www.rottentomatoes.com/m/little_secrets/,http://www.imdb.com/title/tt0296845/,296845
The French Lieutenant's Woman,66,Feature Film,Drama,124,1981,R,7077,80,Fresh,no,no,yes,yes,no,no,Upright,Karel Reisz,Meryl Streep,Jeremy Irons,Hilton McRae,Emily Morgan,Charlotte Mitchell,http://www.rottentomatoes.com/m/french_lieutenants_woman/,http://www.imdb.com/title/tt0082416/,82416
Jolene,44,Feature Film,Drama,121,2008,R,2040,50,Rotten,no,no,no,no,no,no,Spilled,Dan Ireland,Jessica Chastain,Dermot Mulroney,Chazz Palminteri,Michael Vartan,Denise Richards,http://www.rottentomatoes.com/m/10009448-jolene/,http://www.imdb.com/title/tt0867334/,867334
High Tension,67,Feature Film,Drama,91,2003,R,42922,41,Rotten,no,no,no,no,no,no,Upright,Alexandre Aja,Cecile De France,Maiwenn Le Besco,Philippe Nahon,Franck Khalfoun,Andrei Finti,http://www.rottentomatoes.com/m/high-tension-switchblade-romance/,http://www.imdb.com/title/tt0338095/,338095
The Reckoning,57,Feature Film,Documentary,112,2003,R,4260,40,Rotten,no,no,no,no,no,no,Spilled,Pamela Yates,Paul Bettany,Willem Dafoe,Brian Cox,Gina McKee,Ewen Bremner,http://www.rottentomatoes.com/m/1130191-reckoning/,http://www.imdb.com/title/tt0258816/,258816
Unconditional Love,63,Feature Film,Drama,124,2002,PG-13,2776,14,Rotten,no,no,no,yes,no,no,Upright,P.J. Hogan,Kathy Bates,Rupert Everett,Meredith Eaton,Peter Sarsgaard,Lynn Redgrave,http://www.rottentomatoes.com/m/1124362-unconditional_love/,http://www.imdb.com/title/tt0219374/,219374
Day of the Falcon,50,Feature Film,Drama,130,2011,R,6481,13,Rotten,no,no,no,no,no,no,Spilled,Jean-Jacques Annaud,Tahar Rahim,Antonio Banderas,Mark Strong,Freida Pinto,Rizwan Ahmed,http://www.rottentomatoes.com/m/day_of_the_falcon/,http://www.imdb.com/title/tt1701210/,1701210
Fireflies in the Garden,45,Feature Film,Drama,120,2008,R,8415,20,Rotten,no,no,no,yes,no,no,Spilled,Dennis Lee,Julia Roberts,Ryan Reynolds,Willem Dafoe,Emily Watson,Carrie-Anne Moss,http://www.rottentomatoes.com/m/10008601-fireflies_in_the_garden/,http://www.imdb.com/title/tt0961108/,961108
Criminal,57,Feature Film,Mystery & Suspense,87,2004,R,7919,69,Fresh,no,no,no,no,no,no,Spilled,Gregory Jacobs,John C. Reilly,Diego Luna,Maggie Gyllenhaal,Peter Mullan,Jonathan Tucker,http://www.rottentomatoes.com/m/10003276-criminal/,http://www.imdb.com/title/tt0362526/,362526
Sweet and Lowdown,76,Feature Film,Drama,95,1999,PG-13,22103,78,Certified Fresh,no,no,yes,no,yes,no,Upright,Woody Allen,Sean Penn,Samantha Morton,Uma Thurman,Brian Markinson,Anthony LaPaglia,http://www.rottentomatoes.com/m/sweet_and_lowdown/,http://www.imdb.com/title/tt0158371/,158371
Opportunity Knocks,45,Feature Film,Comedy,103,1990,PG-13,1915,13,Rotten,no,no,no,no,no,no,Spilled,Donald Petrie,Dana Carvey,Robert Loggia,Todd Graff,Julia Campbell,Milo O'Shea,http://www.rottentomatoes.com/m/opportunity_knocks/,http://www.imdb.com/title/tt0100301/,100301
Sparkle,65,Feature Film,Other,116,2012,PG-13,3905,57,Rotten,no,no,no,no,no,no,Upright,Salim Akil,Jordin Sparks,Whitney Houston,Derek Luke,Mike Epps,Carmen Ejogo,http://www.rottentomatoes.com/m/sparkle_2012/,http://www.imdb.com/title/tt1876451/,1876451
Harry Potter and the Half-Blood Prince,75,Feature Film,Drama,153,2009,PG,213595,84,Certified Fresh,no,no,no,no,no,yes,Upright,David Yates,Daniel Radcliffe,Rupert Grint,Emma Watson,Helena Bonham Carter,Jim Broadbent,http://www.rottentomatoes.com/m/harry_potter_and_the_half_blood_prince/,http://www.imdb.com/title/tt0417741/,417741
The World's Fastest Indian,87,Feature Film,Drama,127,2005,PG-13,35483,82,Certified Fresh,no,no,yes,no,no,no,Upright,Roger Donaldson,Anthony Hopkins,Diane Ladd,Paul Rodriguez,Aaron Murphy,Annie Whittle,http://www.rottentomatoes.com/m/worlds_fastest_indian/,http://www.imdb.com/title/tt0412080/,412080
Supergirl,27,Feature Film,Action & Adventure,150,1984,PG,10550,8,Rotten,no,no,no,yes,no,no,Spilled,Jeannot Szwarc,Faye Dunaway,Helen Slater,Peter O'Toole,Peter Cook,Brenda Vaccaro,http://www.rottentomatoes.com/m/supergirl/,http://www.imdb.com/title/tt0088206/,88206
The Nine Lives of Fritz the Cat,46,Feature Film,Comedy,77,1974,R,1456,43,Rotten,no,no,no,no,no,no,Spilled,Robert Taylor (III),Carol Androsky,Joan Gerber,Pat Harrington Jr.,Peter Hobbs,Bob Holt,http://www.rottentomatoes.com/m/nine_lives_of_fritz_the_cat/,http://www.imdb.com/title/tt0071913/,71913
Patch Adams,73,Feature Film,Drama,115,1998,PG-13,55598,23,Rotten,no,no,yes,no,no,no,Upright,Tom Shadyac,Robin Williams,Daniel London,Monica Potter,Philip Seymour Hoffman,Bob Gunton,http://www.rottentomatoes.com/m/patch_adams/,http://www.imdb.com/title/tt0129290/,129290
Meet Joe Black,78,Feature Film,Drama,178,1998,PG-13,124954,51,Rotten,no,no,yes,no,no,no,Upright,Martin Brest,Brad Pitt,Anthony Hopkins,Claire Forlani,Jake Weber,Marcia Gay Harden,http://www.rottentomatoes.com/m/meet_joe_black/,http://www.imdb.com/title/tt0119643/,119643
A Little Night Music,30,Feature Film,Other,124,1977,PG,471,11,Rotten,no,no,no,yes,no,no,Spilled,Harold Prince,Elizabeth Taylor,Diana Rigg,Len Cariou,Hermione Gingold,Lesley-Anne Down,http://www.rottentomatoes.com/m/little_night_music/,http://www.imdb.com/title/tt0076319/,76319
Phantasm IV: Oblivion,41,Feature Film,Horror,90,1998,R,3432,25,Rotten,no,no,no,no,no,no,Spilled,Don Coscarelli,Reggie Bannister,A. Michael Baldwin,Bill Thornbury,Angus Scrimm,Bob Ivy,http://www.rottentomatoes.com/m/phantasm_iv_oblivion/,http://www.imdb.com/title/tt0138703/,138703
View from the Top,34,Feature Film,Comedy,87,2003,PG-13,16720,14,Rotten,no,no,no,yes,no,no,Spilled,Bruno Barreto,Gwyneth Paltrow,Mark Ruffalo,Candice Bergen,Christina Applegate,Mike Myers,http://www.rottentomatoes.com/m/view_from_the_top/,http://www.imdb.com/title/tt0264150/,264150
Superstar,59,Feature Film,Comedy,81,1999,PG-13,12155,32,Rotten,no,no,no,no,no,no,Spilled,Bruce McCulloch,Molly Shannon,Will Ferrell,Elaine Hendrix,Harland Williams,Mark McKinney,http://www.rottentomatoes.com/m/1093874-superstar/,http://www.imdb.com/title/tt0167427/,167427
Memoirs of a Geisha,81,Feature Film,Drama,145,2005,PG-13,93432,35,Rotten,no,no,no,no,no,no,Upright,Rob Marshall,Ziyi Zhang,Ken Watanabe,Michelle Yeoh,Koji Yakusho,Youki Kudoh,http://www.rottentomatoes.com/m/memoirs_of_a_geisha/,http://www.imdb.com/title/tt0397535/,397535
After Hours,84,Feature Film,Mystery & Suspense,97,1985,R,28365,89,Fresh,no,no,no,no,yes,no,Upright,Martin Scorsese,Griffin Dunne,Rosanna Arquette,Verna Bloom,Tommy Chong,Linda Fiorentino,http://www.rottentomatoes.com/m/1032180-after_hours/,http://www.imdb.com/title/tt0088680/,88680
Kramer vs. Kramer,85,Feature Film,Drama,105,1979,PG,68853,86,Fresh,yes,yes,yes,yes,yes,no,Upright,Robert Benton,Dustin Hoffman,Meryl Streep,Justin Henry,Jane Alexander,Howard Duff,http://www.rottentomatoes.com/m/kramer_vs_kramer/,http://www.imdb.com/title/tt0079417/,79417
Citizen Ruth,71,Feature Film,Comedy,106,1996,R,4621,80,Fresh,no,no,no,no,no,no,Upright,Alexander Payne,Laura Dern,Swoosie Kurtz,Kurtwood Smith,Mary Kay Place,Kelly Preston,http://www.rottentomatoes.com/m/citizen_ruth/,http://www.imdb.com/title/tt0115906/,115906
Goats,40,Feature Film,Drama,94,2012,R,2752,20,Rotten,no,no,no,no,no,no,Spilled,Christopher Neil,David Duchovny,Vera Farmiga,Graham Phillips,Justin Kirk,Ty Burrell,http://www.rottentomatoes.com/m/goats/,http://www.imdb.com/title/tt1577052/,1577052
Mad Max Beyond Thunderdome,50,Feature Film,Action & Adventure,107,1985,PG-13,63596,81,Fresh,no,no,no,no,no,no,Spilled,George Miller,Mel Gibson,Tina Turner,Angelo Rossitto,Helen Buday,Bruce Spence,http://www.rottentomatoes.com/m/mad_max_beyond_thunderdome/,http://www.imdb.com/title/tt0089530/,89530
Edge of Seventeen,70,Feature Film,Drama,99,1998,R,3825,73,Fresh,no,no,no,no,no,no,Upright,David Moreton,Chris Stafford,Tina Holmes,Andersen Gabrych,Stephanie McVay,Lea DeLaria,http://www.rottentomatoes.com/m/edge_of_seventeen/,http://www.imdb.com/title/tt0138414/,138414
The Last of Sheila,79,Feature Film,Drama,120,1973,PG,2579,92,Fresh,no,no,no,no,no,no,Upright,Herbert Ross,Richard Benjamin,Dyan Cannon,James Coburn,Joan Hackett,James Mason,http://www.rottentomatoes.com/m/last_of_sheila/,http://www.imdb.com/title/tt0070291/,70291
Edmond,37,Feature Film,Drama,82,2005,R,9086,46,Rotten,no,no,no,no,no,no,Spilled,Stuart Gordon,William H. Macy,Joe Mantegna,Julia Stiles,Rebecca Pidgeon,Ling Bai,http://www.rottentomatoes.com/m/edmond/,http://www.imdb.com/title/tt0443496/,443496
Gracie,61,Feature Film,Drama,95,2007,PG-13,3154,60,Fresh,no,no,no,no,no,no,Upright,Davis Guggenheim,Carly Schroeder,Elisabeth Shue,Dermot Mulroney,Andrew Shue,Jesse Lee Soffer,http://www.rottentomatoes.com/m/gracie/,http://www.imdb.com/title/tt0441007/,441007
Donnie Darko,78,Feature Film,Other,113,2001,R,403275,85,Certified Fresh,no,no,no,no,no,no,Upright,Richard Kelly (II),Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne,Maggie Gyllenhaal,http://www.rottentomatoes.com/m/donnie_darko/,http://www.imdb.com/title/tt0246578/,246578
Hamlet 2,55,Feature Film,Comedy,92,2008,R,13794,62,Fresh,no,no,no,no,no,no,Spilled,Andrew Fleming,Steve Coogan,Catherine Keener,David Arquette,Marshall Bell,Melonie Diaz,http://www.rottentomatoes.com/m/hamlet_2/,http://www.imdb.com/title/tt1104733/,1104733
We're Back! A Dinosaur's Story,53,Feature Film,Other,72,1993,G,7499,33,Rotten,no,no,no,no,no,no,Spilled,Dick & Ralph Zondag,John Goodman,Blaze Berdahl,Rhea Perlman,Jay Leno,Rene Levant,http://www.rottentomatoes.com/m/were_back_a_dinosaurs_story/,http://www.imdb.com/title/tt0108526/,108526
Norbit,54,Feature Film,Drama,102,2007,PG-13,39677,9,Rotten,no,no,no,no,no,no,Spilled,Brian Robbins,Eddie Murphy,Thandie Newton,Eddie Griffin,Terry Crews,Clifton Powell,http://www.rottentomatoes.com/m/norbit/,http://www.imdb.com/title/tt0477051/,477051
Gone Fishin',39,Feature Film,Comedy,94,1997,PG,6773,7,Rotten,no,no,no,no,no,no,Spilled,Christopher Cain,Joe Pesci,Danny Glover,Rosanna Arquette,Lynn Whitfield,Willie Nelson,http://www.rottentomatoes.com/m/gone_fishin/,http://www.imdb.com/title/tt0119214/,119214
Posse,46,Feature Film,Other,111,1993,R,2744,31,Rotten,no,no,no,no,no,no,Spilled,Mario Van Peebles,Mario Van Peebles,Stephen Baldwin,Charles Lane,Tommy 'Tiny' Lister,Big Daddy Kane,http://www.rottentomatoes.com/m/1043958-posse/,http://www.imdb.com/title/tt0107863/,107863
Universal Soldier: The Return,33,Feature Film,Action & Adventure,83,1999,R,20381,5,Rotten,no,no,no,no,no,no,Spilled,Mic Rodgers,Jean-Claude Van Damme,Michael Jai White,Heidi Schanz,Xander Berkeley,Justin Lazard,http://www.rottentomatoes.com/m/universal_soldier_the_return/,http://www.imdb.com/title/tt0176269/,176269
Fright Night Part 2,42,Feature Film,Horror,104,1988,R,5984,25,Rotten,no,no,no,no,no,no,Spilled,Tommy Lee Wallace,Roddy McDowall,William Ragsdale,Traci Lind,Julie Carmen,Russell Clark,http://www.rottentomatoes.com/m/fright_night_2_1988/,http://www.imdb.com/title/tt0097390/,97390
The Falcon and the Snowman,61,Feature Film,Drama,131,1985,R,6816,87,Fresh,no,no,yes,no,yes,no,Upright,John Schlesinger,Timothy Hutton,Sean Penn,David Suchet,Lori Singer,Pat Hingle,http://www.rottentomatoes.com/m/falcon_and_the_snowman/,http://www.imdb.com/title/tt0087231/,87231
I'm the Angel of Death: Pusher III,78,Feature Film,Drama,90,2005,R,5793,92,Fresh,no,no,no,no,no,no,Upright,Nicolas Winding Refn,Ilyas Agac,Zlatko Buric,Gitte Dan,Marinela Dekic,Dan Dommer,http://www.rottentomatoes.com/m/pusher-3-im-the-angel-of-death/,http://www.imdb.com/title/tt0425379/,425379
Mother's Boys,33,Feature Film,Mystery & Suspense,96,1994,R,1859,43,Rotten,no,no,no,no,no,no,Spilled,Yves Simoneau,Jamie Lee Curtis,Peter Gallagher,Joanne Whalley,Vanessa Redgrave,Luke Edwards,http://www.rottentomatoes.com/m/mothers_boys/,http://www.imdb.com/title/tt0107606/,107606
House of 1000 Corpses,65,Feature Film,Horror,89,2003,R,47708,18,Rotten,no,no,no,no,no,no,Upright,Rob Zombie,Sid Haig,Bill Moseley,Sheri Moon Zombie,Karen Black,Chris Hardwick,http://www.rottentomatoes.com/m/house_of_1000_corpses/,http://www.imdb.com/title/tt0251736/,251736
Besieged,79,Feature Film,Drama,93,1998,R,3282,75,Certified Fresh,no,no,no,no,yes,no,Upright,Bernardo Bertolucci,Thandie Newton,David Thewlis,Claudio Santamaria,Alexander Menis,Andrea Quercia,http://www.rottentomatoes.com/m/besieged/,http://www.imdb.com/title/tt0149723/,149723
The Tuxedo,39,Feature Film,Action & Adventure,98,2002,PG-13,45226,22,Rotten,no,no,no,no,no,no,Spilled,Kevin Donovan,Jackie Chan,Jennifer Love Hewitt,Jason Isaacs,Debi Mazar,Ritchie Coster,http://www.rottentomatoes.com/m/tuxedo/,http://www.imdb.com/title/tt0290095/,290095
A Good Old Fashioned Orgy,41,Feature Film,Comedy,95,2011,R,13481,33,Rotten,no,no,no,no,no,no,Spilled,Alex Gregory,Jason Sudeikis,Leslie Bibb,Lake Bell,Michelle Borth,Nick Kroll,http://www.rottentomatoes.com/m/a-good-old-fashioned-orgy/,http://www.imdb.com/title/tt1231586/,1231586
In America,89,Feature Film,Drama,105,2002,PG-13,32274,89,Certified Fresh,no,no,no,no,no,no,Upright,Jim Sheridan,Samantha Morton,Paddy Considine,Sarah Bolger,Emma Bolger,Djimon Hounsou,http://www.rottentomatoes.com/m/in_america/,http://www.imdb.com/title/tt0298845/,298845
Bagdad Cafe,87,Feature Film,Drama,95,1987,PG,7630,88,Fresh,no,no,no,no,no,no,Upright,Percy Adlon,Marianne Sagebrecht,CCH Pounder,Jack Palance,Christine Kaufmann,Monica Calhoun,http://www.rottentomatoes.com/m/bagdad_cafe/,http://www.imdb.com/title/tt0095801/,95801
Lies & Alibis,55,Feature Film,Drama,90,2006,R,4398,57,Rotten,no,no,no,no,no,no,Spilled,Kurt Mattila,Steve Coogan,Rebecca Romijn,Selma Blair,James Brolin,Sam Elliott,http://www.rottentomatoes.com/m/10007196-alibi/,http://www.imdb.com/title/tt0409681/,409681
Redbelt,63,Feature Film,Drama,99,2008,R,16655,67,Fresh,no,no,no,no,no,no,Upright,David Mamet,Chiwetel Ejiofor,Emily Mortimer,Alice Braga,Tim Allen,Joe Mantegna,http://www.rottentomatoes.com/m/redbelt/,http://www.imdb.com/title/tt1012804/,1012804
Rooftops,35,Feature Film,Action & Adventure,98,1989,R,276,0,Rotten,no,no,no,no,yes,no,Spilled,Robert Wise,Jason Gedrick,Troy Beyer,Eddie Velez,Alexis Cruz,Tisha Campbell,http://www.rottentomatoes.com/m/rooftops/,http://www.imdb.com/title/tt0098222/,98222
My Fellow Americans,61,Feature Film,Comedy,101,1996,PG-13,10630,47,Rotten,no,no,yes,no,no,no,Upright,Peter Segal,Jack Lemmon,James Garner,Dan Aykroyd,John Heard,Everett McGill,http://www.rottentomatoes.com/m/my_fellow_americans/,http://www.imdb.com/title/tt0117119/,117119
The Woman in the Fifth,22,Feature Film,Mystery & Suspense,85,2011,R,3280,63,Fresh,no,no,no,no,no,no,Spilled,Pawel Pawlikowski,Ethan Hawke,Kristin Scott Thomas,Joanna Kulig,Samir Guesmi,Delphine Chuillot,http://www.rottentomatoes.com/m/the_woman_in_the_fifth/,http://www.imdb.com/title/tt1605777/,1605777
Chained Heat,43,Feature Film,Drama,95,1983,R,1372,56,Rotten,no,no,no,no,no,no,Spilled,Paul Nicolas,Linda Blair,John Vernon,Sybil Danning,Tamara Dobson,Stella Stevens,http://www.rottentomatoes.com/m/chained_heat/,http://www.imdb.com/title/tt0085318/,85318
